"","Tm","year","num_batters","BatAge","R.G","G","PA","AB","R","H","B2","B3","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS_plus","TB","GDP","HBP","SH","SF","IBB","LOB","playoffs"
"16","NYM",1975,37,28.6,3.99,162,38.5123456790123,34.4876543209877,3.98765432098765,8.82716049382716,1.33950617283951,0.209876543209877,0.623456790123457,3.7283950617284,0.197530864197531,0.160493827160494,3.09259259259259,4.96913580246914,0.256,0.319,0.361,0.681,93,12.4567901234568,0.882716049382716,0.228395061728395,0.462962962962963,0.228395061728395,0.432098765432099,7.40740740740741,FALSE
"17","NYY",1975,37,28.5,4.26,160,37.74375,33.84375,4.25625,8.9375,1.4375,0.24375,0.6875,4.0125,0.6375,0.36875,3.0375,4.4375,0.264,0.325,0.382,0.707,101,12.925,0.8875,0.1875,0.3375,0.33125,0.25625,6.81875,FALSE
"18","OAK",1975,42,28.8,4.68,162,38.179012345679,33.4259259259259,4.67901234567901,8.49382716049383,1.35802469135802,0.203703703703704,0.932098765432099,4.33950617283951,1.12962962962963,0.506172839506173,3.75925925925926,5.22222222222222,0.254,0.333,0.391,0.724,106,13.0555555555556,0.660493827160494,0.314814814814815,0.45679012345679,0.216049382716049,0.277777777777778,6.95679012345679,TRUE
"19","PHI",1975,39,27.7,4.54,162,39.3024691358025,34.5185185185185,4.53703703703704,9.2962962962963,1.74691358024691,0.259259259259259,0.771604938271605,4.24074074074074,0.777777777777778,0.351851851851852,3.76543209876543,5.92592592592593,0.269,0.342,0.402,0.744,103,13.8765432098765,0.703703703703704,0.191358024691358,0.54320987654321,0.259259259259259,0.481481481481481,7.85185185185185,FALSE
"20","PIT",1975,34,27.5,4.42,161,37.9627329192547,34.0931677018634,4.42236024844721,8.96894409937888,1.58385093167702,0.291925465838509,0.857142857142857,4.15527950310559,0.304347826086957,0.173913043478261,2.90683229813665,5.16770186335404,0.263,0.323,0.402,0.725,103,13.7080745341615,0.770186335403727,0.236024844720497,0.472049689440994,0.248447204968944,0.341614906832298,6.95652173913043,TRUE
"21","SDP",1975,38,27.5,3.41,162,37.9876543209877,33.5123456790123,3.40740740740741,8.17283950617284,1.32716049382716,0.135802469135802,0.481481481481481,3.11728395061728,0.524691358024691,0.308641975308642,3.12345679012346,4.65432098765432,0.244,0.31,0.335,0.645,84,11.216049382716,0.790123456790123,0.228395061728395,0.820987654320988,0.283950617283951,0.37037037037037,7.32098765432099,FALSE
"22","SFG",1975,37,25.6,4.09,161,38.4223602484472,33.832298136646,4.09316770186335,8.77018633540373,1.45962732919255,0.279503105590062,0.521739130434783,3.7639751552795,0.614906832298137,0.291925465838509,3.75155279503106,4.81366459627329,0.259,0.333,0.365,0.698,91,12.3540372670807,0.863354037267081,0.136645962732919,0.385093167701863,0.316770186335404,0.322981366459627,7.6583850931677,FALSE
"23","STL",1975,44,28.2,4.06,163,38.0920245398773,34.3374233128834,4.06134969325153,9.3680981595092,1.46625766871166,0.282208588957055,0.496932515337423,3.79754601226994,0.711656441717791,0.300613496932515,2.7239263803681,3.98159509202454,0.273,0.327,0.375,0.702,92,12.8895705521472,0.840490797546012,0.177914110429448,0.56441717791411,0.276073619631902,0.404907975460123,7.25766871165644,FALSE
"24","TEX",1975,39,26.5,4.41,162,39.1604938271605,34.5617283950617,4.40740740740741,8.83333333333333,1.28395061728395,0.104938271604938,0.827160493827161,4.16666666666667,0.62962962962963,0.382716049382716,3.78395061728395,5.32716049382716,0.256,0.33,0.371,0.7,99,12.8086419753086,0.771604938271605,0.154320987654321,0.395061728395062,0.253086419753086,0.296296296296296,7.50617283950617,FALSE
"25","ATL",1976,43,27.7,3.83,162,37.6975308641975,32.9938271604938,3.82716049382716,8.08024691358025,1.04938271604938,0.185185185185185,0.506172839506173,3.61728395061728,0.45679012345679,0.376543209876543,3.6358024691358,5.00617283950617,0.245,0.32,0.334,0.653,82,11.0185185185185,0.808641975308642,0.117283950617284,0.660493827160494,0.290123456790123,0.283950617283951,7.10493827160494,FALSE
"26","BAL",1976,37,29.5,3.82,162,37.5987654320988,33.6851851851852,3.82098765432099,8.18518518518519,1.31481481481481,0.172839506172839,0.734567901234568,3.55555555555556,0.925925925925926,0.376543209876543,3.2037037037037,5.45061728395062,0.243,0.31,0.358,0.667,101,12.0493827160494,0.734567901234568,0.141975308641975,0.351851851851852,0.216049382716049,0.209876543209877,6.66666666666667,FALSE
