"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"208","CAL",1983,FALSE,18,15,16,2,5.5,26,12,1,13,16,7,14,15.5,23,10,1,16,26,4.5
"209","CHC",1983,FALSE,14,18.5,8,11.5,13.5,12,20,17.5,16,17,18,13,24.5,18,6.5,18.5,10,7,3
"210","CHW",1983,TRUE,26,21,16,18,23.5,9,18,17.5,21,11,13,4,9,9,22,24,22,1,24
"211","CIN",1983,FALSE,3,3,16,22.5,8,1,7,13,25,18.5,21,5,4.5,16.5,6.5,5,4.5,14,6.5
"212","CLE",1983,FALSE,15,6,8,10,9,8,14,7.5,3,8.5,6,21.5,19.5,25,19.5,2,18.5,20,10
"213","DET",1983,FALSE,23,25,26,15,17,22,23.5,21,12,8.5,5,15,15.5,11,14,4,15,2,18
"214","HOU",1983,FALSE,5,8.5,2.5,18,11,11,10,25,17,23,22,18,2,7,19.5,24,12,10,12
"215","KCR",1983,FALSE,12.5,16,16,1,3,17,19,22,4,2,8,3,22,21,1,26,11,16,8
"216","LAD",1983,TRUE,6.5,10,2.5,24,25,5,2,11.5,23,25,16,8,11.5,1.5,24,15,3,5,25
"217","MIL",1983,FALSE,21,23,16,3,7,24,22,23,1,13,14,16,15.5,15,14,20,14,21,4.5
"218","MIN",1983,FALSE,17,18.5,24.5,7,4,23,21,16,9,1,1,12,4.5,26,2,13.5,23,24,2
"219","MON",1983,FALSE,9,14,8,18,21.5,19,26,15,5,20,25,26,7,4,26,11,21,9,14
"220","NYM",1983,FALSE,2,1,2.5,5,2,6,1,2,26,15,15,2,9,12,6.5,9.5,6,18,13
"221","NYY",1983,FALSE,22,22,8,18,23.5,25,17,14,2,4,4,23,15.5,14,22,7.5,4.5,13,15
"222","OAK",1983,FALSE,16,11,16,5,1,13,8,4,18,12,11,6,26,24,14,9.5,18.5,25,1
"223","PHI",1983,TRUE,12.5,7,8,26,26,4,5,19,22,22,24,19,22,3,9,16,7,11,22
"224","PIT",1983,FALSE,8,12,8,25,21.5,14,9,5,19,24,18,17,15.5,8,25,17,2,15,19.5
"225","SDP",1983,FALSE,6.5,2,22,13.5,12,10,3,11.5,11,26,26,7,22,6,3,21,13,12,11
"226","SEA",1983,FALSE,1,4,22,22.5,16,2,13,7.5,14,6,2,1,9,20,14,13.5,25,4,17
"227","SFG",1983,FALSE,11,8.5,16,18,18,3,4,6,24,14,18,9,15.5,13,14,22,18.5,19,9
"228","STL",1983,FALSE,10,13,8,5,5.5,16,15,26,20,18.5,20,24,24.5,16.5,14,3,8.5,22,6.5
"229","TEX",1983,FALSE,4,5,2.5,11.5,20,18,11,10,7,5,3,11,11.5,1.5,18,6,24,3,26
"230","TOR",1983,FALSE,24,26,22,13.5,13.5,20,16,24,10,3,9.5,10,4.5,19,14,7.5,26,17,19.5
"231","ATL",1984,FALSE,5,4,12.5,11.5,10.5,2,11.5,5,18,17,24.5,15,10,8,5,21,5.5,9.5,22
"232","BAL",1984,FALSE,13,17,19.5,3,2,5,11.5,1.5,17,10,14.5,24,10,10,24,7,12,3,18
"233","BOS",1984,FALSE,25,26,19.5,19.5,17.5,23,22.5,20,13,3,14.5,14,6,23,24,7,18.5,21,9
"234","CAL",1984,FALSE,18,13,19.5,5,8,7,2,8.5,20,19,2,8,20.5,17,24,3,16,18,14.5
"235","CHC",1984,TRUE,24,19,4.5,16,24,8,16,22,22,15,23,12,22.5,9,13.5,24,10.5,7,17
"236","CHW",1984,FALSE,12,18,25,10,16,12,6.5,16,16,5.5,9,7,20.5,19,16,7,24,13,12
"237","CIN",1984,FALSE,4,3,12.5,19.5,10.5,10,15,8.5,23,22,22,16,25.5,21,9.5,2,3,22,3
"238","CLE",1984,FALSE,22,14.5,19.5,6.5,4,20,4,17,5.5,4,3,20,24,22,12,11,14,25,5
"239","DET",1984,TRUE,26,25,12.5,17.5,20,22,20,21,21,12,18,25,6,6,9.5,25.5,18.5,9.5,25
"240","HOU",1984,FALSE,17,9.5,4.5,21,21,17,5,25,11,25,20,18,6,4,19.5,5,3,2,10
"241","KCR",1984,TRUE,10.5,20,12.5,3,14.5,14,24,24,10,8,7,1,3,14,9.5,22.5,16,5,14.5
"242","LAD",1984,FALSE,1,1,1,25.5,26,1,3,1.5,9,26,19,2,3,3,26,4,5.5,11,24
"243","MIL",1984,FALSE,6,8,19.5,6.5,10.5,15,10,14.5,2,9,5,5,22.5,20,3,16,10.5,19,6
"244","MIN",1984,FALSE,10.5,16,25,3,5,18,22.5,11.5,3,1,11,13,13.5,11.5,16,14.5,24,6,23
"245","MON",1984,FALSE,2,5,8.5,14,19,9,17,14.5,4,23,17,17,16,2,13.5,20,8,1,19
"246","NYM",1984,FALSE,7.5,7,4.5,25.5,17.5,4,13,3,25,14,26,10,13.5,11.5,16,22.5,16,12,7.5
"247","NYY",1984,FALSE,23,21.5,8.5,23,22,26,26,10,1,17,8,26,18,13,5,17,7,20,12
"248","OAK",1984,FALSE,20,21.5,25,1,1,6,21,6,14.5,5.5,1,11,25.5,25,1.5,18.5,24,24,2
"249","PHI",1984,FALSE,19,23,4.5,17.5,25,21,19,23,26,7,21,22,13.5,16,1.5,12.5,3,15,12
"250","PIT",1984,FALSE,3,6,4.5,23,23,13,14,11.5,12,24,13,3,18,1,21,10,1,8,26
"251","SDP",1984,TRUE,16,9.5,12.5,8.5,3,11,1,18,5.5,17,24.5,4,3,5,19.5,18.5,9,14,16
"252","SEA",1984,FALSE,14.5,14.5,19.5,23,7,16,18,13,14.5,20,4,21,10,24,9.5,12.5,26,23,4
"253","SFG",1984,FALSE,14.5,11,12.5,11.5,6,24,9,4,24,13,10,23,13.5,26,5,14.5,21,26,1
"254","STL",1984,FALSE,7.5,2,4.5,8.5,10.5,3,6.5,19,19,21,16,9,18,7,22,25.5,13,4,7.5
"255","TEX",1984,FALSE,9,12,19.5,14,14.5,19,8,7,8,11,6,6,8,18,7,1,22,17,21
"256","TOR",1984,FALSE,21,24,19.5,14,13,25,25,26,7,2,12,19,1,15,18,9,20,16,20
"257","ATL",1985,FALSE,4,3,11,4.5,1,17,1,3.5,13,16,15,23,2,20,3.5,4,17,26,4
"258","BAL",1985,FALSE,25,26,18.5,9,5,21,7,1,21,3,3.5,12,8.5,19,18,8.5,8.5,18,6
"259","BOS",1985,FALSE,24,25,11,17.5,14,26,26,7,5,11,8,26,12,15.5,8,3,22,20,17
"260","CAL",1985,FALSE,18.5,14,24,3,6,5,3,9,20,25,12.5,24,21.5,14,10,17,15,11,19
"261","CHC",1985,FALSE,10,16,18.5,10.5,9,11,9.5,3.5,23,17.5,19,19,23,18,16.5,19.5,7,17,8.5
"262","CHW",1985,FALSE,18.5,17,18.5,25.5,23,4,14,15,9,13,9,1,20,15.5,15,14,23,15,18
"263","CIN",1985,FALSE,8,6,11,17.5,16,3,15,12.5,15,20,24,14,6,8,19.5,23,2,6,14.5
"264","CLE",1985,FALSE,17,12.5,24,1,2,18,18,9,7,5,1,4,21.5,26,10,2,26,24,1
"265","DET",1985,FALSE,20,22,14.5,21,16,25,19,21,22,7,16,21,4,13,21,15,8.5,14,20
"266","HOU",1985,FALSE,15,15,6.5,17.5,13,23,20.5,19,18,17.5,20,11,10.5,12,3.5,19.5,11,16,8.5
"267","KCR",1985,TRUE,11,18.5,2.5,12,24,12,20.5,23,10,8,17,2,2,6,22,17,17,12,25
"268","LAD",1985,TRUE,9,10,2.5,22.5,26,13,5,3.5,11,26,23,25,2,3,25,11,5,2,23.5
"269","MIL",1985,FALSE,12.5,7.5,24,7,8,24,16,20,1,12,5,15,17.5,24,13,13,21,22,10
"270","MIN",1985,FALSE,14,20,18.5,4.5,12,15,24,17,3,6,6.5,18,14.5,21,16.5,10,19,5,13
"271","MON",1985,FALSE,5,5,2.5,13,18,6,12,24,19,14,25,3,24.5,7,13,26,6,9,12
"272","NYM",1985,FALSE,12.5,12.5,6.5,25.5,25,20,9.5,14,17,22,26,20,14.5,1,24,12,3,8,22
"273","NYY",1985,FALSE,26,23.5,18.5,20,21,10,22,11,2,9,11,13,17.5,9,13,25,1,7,21
"274","OAK",1985,FALSE,22,18.5,24,7,3,22,6,12.5,16,15,2,5,14.5,22,1,17,11,25,2
"275","PHI",1985,FALSE,7,11,6.5,17.5,7,9,8,22,26,10,12.5,8,14.5,10,19.5,6.5,13,19,14.5
"276","PIT",1985,FALSE,2,1,6.5,22.5,11,8,17,6,12,23,21,16,19,17,2,5,20,21,5
"277","SDP",1985,FALSE,6,4,11,2,10,14,11,3.5,4,21,22,22,6,5,23,21.5,11,4,16
"278","SEA",1985,FALSE,16,21,18.5,14.5,4,16,23,16,24,2,6.5,17,26,25,10,6.5,25,23,3
"279","SFG",1985,FALSE,1,2,11,24,19.5,2,4,9,25,24,14,7,6,11,7,1,4,13,11
"280","STL",1985,TRUE,21,7.5,2.5,7,22,7,13,26,14,19,18,9,10.5,2,26,21.5,17,3,23.5
"281","TEX",1985,FALSE,3,9,24,14.5,19.5,1,2,18,8,4,3.5,10,24.5,23,5.5,8.5,24,10,7
"282","TOR",1985,TRUE,23,23.5,14.5,10.5,16,19,25,25,6,1,10,6,8.5,4,5.5,24,14,1,26
"283","ATL",1986,FALSE,2,7.5,4,13,10.5,3,10,5,6,22,19,19,7.5,17,3,14.5,9.5,9,11.5
"284","BAL",1986,FALSE,13,14,23,17,15.5,15,4,1,4,4,4,21,9.5,21.5,2,13,3,10,8
"285","BOS",1986,TRUE,23.5,20,23,22,25,18,26,3,1,7,16,26,7.5,11,15,18,9.5,7,20
"286","CAL",1986,TRUE,21,19,13.5,13,21,4,7,17,3,24,12,23,22,7,22.5,16,11.5,2,19
"287","CHC",1986,FALSE,11,15,13.5,17,13,23,18,8,19,14,17,9,20,23,12,19,2,24,5
"288","CHW",1986,FALSE,5,2,13.5,7,8,1,1,14,15,8,6,1,17,9,8.5,11.5,17,6,23.5
"289","CIN",1986,FALSE,16,10,8.5,8.5,14,19,8,16,12,17,14.5,13,3.5,13,17,21,1,19,9
"290","CLE",1986,FALSE,26,25.5,18.5,1,1,25,21,23,14,15,3,12,13.5,24,16,8,26,26,1
"291","DET",1986,FALSE,23.5,21,23,5,4.5,12,6,10,5,9.5,9,22,5.5,12,24,11.5,15,8,15
"292","HOU",1986,TRUE,6.5,7.5,4,26,26,6,12,12,9,11,25,11,22,1,26,25,6,1,25
"293","KCR",1986,FALSE,6.5,12.5,8.5,5,17,22,19,24,11,2,11,16,1,5,22.5,5,21,3.5,23.5
"294","LAD",1986,FALSE,3,3,4,22,23,8,5,2,16,23,18,3,2,6,19.5,2,8,14,6.5
"295","MIL",1986,FALSE,10,9,18.5,17,20,9,14.5,18,21,12.5,5,18,11.5,19,25,7,14,13,21.5
"296","MIN",1986,FALSE,17,23.5,26,13,18.5,17,16,19,18,6,7.5,4.5,17,26,13.5,1,24,21,2.5
"297","MON",1986,FALSE,4,6,4,22,18.5,20,14.5,26,22,12.5,23,17,24,8,21,24,18,20,11.5
"298","NYM",1986,TRUE,20,18,1,24.5,24,21,17,11,17,21,20,24,3.5,2,19.5,22,16,11,26
"299","NYY",1986,FALSE,22,25.5,23,5,15.5,24,24,4,8,5,13,25,17,18,5,26,7,12,13
"300","OAK",1986,FALSE,15,12.5,18.5,13,2,5,2,6.5,20,16,2,4.5,25,21.5,8.5,10,19,16,2.5
"301","PHI",1986,FALSE,18,17,8.5,3,7,14,20,20,26,19,22,20,26,14,11,14.5,4.5,22,14
"302","PIT",1986,FALSE,9,4,13.5,8.5,10.5,7,23,13,13,20,14.5,8,17,10,8.5,4,20,15,10
"303","SDP",1986,FALSE,8,11,13.5,10,4.5,13,9,6.5,10,18,24,7,22,15,8.5,6,11.5,17,6.5
"304","SEA",1986,FALSE,14,16,23,13,9,10,11,21,25,9.5,10,10,9.5,25,5,3,25,25,4
"305","SFG",1986,FALSE,12,5,4,19.5,12,11,22,9,23,25,26,14,17,3,5,9,13,3.5,18
"306","STL",1986,FALSE,1,1,8.5,2,6,2,3,25,7,26,21,15,11.5,4,1,23,4.5,5,21.5
"307","TEX",1986,FALSE,19,23.5,13.5,24.5,3,16,13,22,24,3,7.5,2,5.5,20,13.5,17,22,23,17
"308","TOR",1986,FALSE,25,22,18.5,19.5,22,26,25,15,2,1,1,6,13.5,16,18,20,23,18,16
"309","ATL",1987,FALSE,12,7.5,10.5,2,2,3,24,4,2,26,26,23,21,23,11.5,8,23,22,4.5
"310","BAL",1987,FALSE,8,12.5,25.5,4.5,7,18,2,2,13,2,2,10,13.5,25,14.5,5,8,21,2
"311","BOS",1987,FALSE,23,20.5,20,21.5,23,19,17,5.5,1,11,11,25,1,22,26,1,13,18.5,7
"312","CAL",1987,FALSE,14,5.5,23,12,16,17,10,5.5,9,20.5,6.5,17,6,18,6,12,14.5,13,11.5
"313","CHC",1987,FALSE,7,23,10.5,18.5,8.5,23,7,13,23,17,15,20,5,20,11.5,24,10,24,4.5
"314","CHW",1987,FALSE,11,11,20,1,4,14,23,17,16,12,6.5,2,13.5,11,22,13,18.5,7.5,23
"315","CIN",1987,FALSE,15.5,15,16,9.5,18,15,12,8,10,14.5,18,3,13.5,13,3,19,2,7.5,14
"316","CLE",1987,FALSE,10,14,25.5,4.5,1,21,15,9,17,8,3,13,22.5,26,9,2,24.5,26,1
"317","DET",1987,TRUE,26,26,16,14,13,26,18.5,10.5,5,6,12,26,2,9,22,6,16,20,20
"318","HOU",1987,FALSE,2,2,6,26,25,5,4,7,12,16,17,19,8,4,9,10,5,2.5,16.5
"319","KCR",1987,FALSE,5,10,2.5,12,12,6,5.5,20,20,3,4,16,3.5,5,25,3,21,2.5,25
"320","LAD",1987,FALSE,1,1,2.5,24,20,11,3,3,8,24,21,8,13.5,3,20,7,11.5,15.5,23
"321","MIL",1987,FALSE,25,17,10.5,18.5,21.5,24,16,22,21,18.5,10,18,8,21,14.5,20,5,23,11.5
"322","MIN",1987,TRUE,17,20.5,23,15,14,1,11,15.5,4,9,13.5,1,8,19,3,15.5,24.5,11,11.5
"323","MON",1987,FALSE,9,5.5,6,16,26,12,26,19,7,14.5,25,7,22.5,8,18,25,5,5,23
"324","NYM",1987,FALSE,21.5,24,2.5,18.5,24,20,25,14,19,20.5,23,24,13.5,7,14.5,26,17,9,11.5
"325","NYY",1987,FALSE,18,12.5,16,7.5,11,9.5,5.5,1,14,4.5,8,11,25,14,6,21,14.5,14,15
"326","OAK",1987,FALSE,20,17,16,21.5,21.5,9.5,13,12,22,10,9,9,25,16,3,17,21,15.5,6
"327","PHI",1987,FALSE,4,9,10.5,4.5,5.5,4,8,26,26,18.5,16,14,13.5,12,14.5,22.5,18.5,18.5,16.5
"328","PIT",1987,FALSE,6,7.5,10.5,9.5,8.5,13,21.5,21,6,22,20,21,25,10,24,15.5,2,4,9
"329","SDP",1987,FALSE,3,3.5,16,7.5,5.5,2,1,23.5,18,23,24,22,18.5,15,18,10,21,12,3
"330","SEA",1987,FALSE,13,17,23,12,15,8,21.5,23.5,3,4.5,1,6,13.5,17,18,10,11.5,6,18
"331","SFG",1987,TRUE,15.5,20.5,6,18.5,19,22,18.5,10.5,25,13,22,5,20,2,22,14,8,10,20
"332","STL",1987,TRUE,19,3.5,2.5,4.5,10,7,9,25,11,25,19,15,13.5,6,9,22.5,8,17,20
"333","TEX",1987,FALSE,21.5,20.5,20,25,3,16,14,15.5,24,7,5,4,18.5,24,1,4,26,25,8
"334","TOR",1987,FALSE,24,25,10.5,23,17,25,20,18,15,1,13.5,12,3.5,1,6,18,2,1,26
"335","ATL",1988,FALSE,2,2,9.5,4,6,16,9,11,9,21,18,2,20,23,4,1,23,25,4
"336","BAL",1988,FALSE,1,7,25.5,1,1,1,1,2,11,5.5,3,10,25,26,1.5,2,22,17,2
"337","BOS",1988,TRUE,26,25,21.5,25,25,21,26,19,1,15.5,13,26,9,17,21.5,10,17.5,9,17.5
"338","CAL",1988,FALSE,21,17,16,5.5,5,23,17.5,13.5,3,12,9,15,18,25,12,7,20.5,24,3
"339","CHC",1988,FALSE,12,16,9.5,13,14,26,20,24,13,10,16,17,12,16,19,4,8,20,5
"340","CHW",1988,FALSE,9,12,21.5,2,4,11,6,17.5,15,19,10,4,25,24,1.5,17,12,21,8
"341","CIN",1988,FALSE,11,9,9.5,20,16,8,14,6,17,20,19,8,22,5,23,17,5,6,20
"342","CLE",1988,FALSE,14,18,16,5.5,15,15,10,9.5,10,2,6,5,13.5,18,15,19,19,14,9.5
"343","DET",1988,FALSE,18,15,21.5,13,12,5,4,9.5,7,15.5,5,16,1.5,13,12,8.5,9,12,15.5
"344","HOU",1988,FALSE,6,3.5,16,24,24,13,11,13.5,6,22,23,9,4.5,10,21.5,12,17.5,18,9.5
"345","KCR",1988,FALSE,19,19,4,16.5,18,14,24,21,21,7,8,12,10.5,12,20,6,11,8,21
"346","LAD",1988,TRUE,8,5,1.5,23,23,4,5,5,20,24,21,7,18,1,25,23,4,5,24
"347","MIL",1988,FALSE,17,14,16,7,17,12,17.5,7,14,11,14,3,1.5,6,12,24,2,3,25
"348","MIN",1988,FALSE,22,26,21.5,16.5,20,17,25,13.5,5,4,12,21.5,21,14,5.5,25,20.5,7,17.5
"349","MON",1988,FALSE,7,13,9.5,16.5,19,20,19,26,26,13,24,6,8,3,10,15,14,10,26
"350","NYM",1988,TRUE,20,21,1.5,26,26,10,16,4,8,14,26,20,6,2,26,20.5,13,1,23
"351","NYY",1988,FALSE,24,20,25.5,8,10,25,23,1,19,3,15,24,15,22,7.5,17,24,26,6
"352","OAK",1988,TRUE,25,23,9.5,21,11,24,15,3,16,9,2,21.5,4.5,7,5.5,26,6,22,22
"353","PHI",1988,FALSE,4.5,6,9.5,10,2,3,13,13.5,23,18,11,13,23,19,3,8.5,15,23,1
"354","PIT",1988,FALSE,13,11,9.5,3,7,6,12,23,22,17,22,19,16,9,9,20.5,10,11,11
"355","SDP",1988,FALSE,4.5,3.5,9.5,13,21,2,2,17.5,12,26,17,14,3,4,7.5,11,3,2,19
"356","SEA",1988,FALSE,15,22,21.5,22,9,9,22,8,2,5.5,1,1,10.5,21,17.5,3,16,13,12.5
"357","SFG",1988,FALSE,16,9,4,10,22,7,7,22,24,23,25,18,13.5,8,24,13.5,7,4,7
"358","STL",1988,FALSE,3,1,4,10,13,19,3,16,4,25,20,23,18,11,15,13.5,1,15,14
"359","TEX",1988,FALSE,10,9,16,19,3,18,8,20,25,8,7,25,25,20,17.5,5,25,19,12.5
"360","TOR",1988,FALSE,23,24,21.5,16.5,8,22,21,25,18,1,4,11,7,15,15,22,26,16,15.5
"361","ATL",1989,FALSE,2,3,11.5,19.5,23,16,2,3,22,15,12.5,5,26,17,18,3,1,10,10
"362","BAL",1989,FALSE,22,13,19.5,1,2,6,13,15,19,13.5,8,17,8,16,4.5,18,6.5,19,7
"363","BOS",1989,FALSE,26,26,19.5,23,19,26,26,11.5,2,8,16,26,3,22,16,15,19,23,18
"364","CAL",1989,FALSE,12,19,11.5,13,20,23,3,19,23,9,9,2,3,3,25,10,13.5,4,24
"365","CHC",1989,TRUE,19,20,11.5,15,11,18,10.5,22,15,20,21,3,3,7,11.5,25,6.5,15,23
"366","CHW",1989,FALSE,17,16,24,2,3,22,21,18,9,25,12.5,21,15,24,2,22,20,20,4
"367","CIN",1989,FALSE,8.5,11,19.5,19.5,13,20,16,8.5,25,16,19,11,8,18,11.5,6,18,24,8
"368","CLE",1989,FALSE,3,9,11.5,8.5,18,8,7,7,17.5,18,14,13,17.5,12,20.5,10,3.5,11,21
"369","DET",1989,FALSE,4,4,24,8.5,1,5,1,5,12,2.5,1,23,23,26,4.5,1,24,26,1
"370","HOU",1989,FALSE,11,2,4.5,18,13,19,14,8.5,8,23,18,12,8,14,16,10,6.5,25,6
"371","KCR",1989,FALSE,14,12,1.5,21,26,12,8,21,11,5,11,20,8,10,23,10,6.5,5,22
"372","LAD",1989,FALSE,1,1,4.5,23,25,21,17,1,10,24,22,25,12,1,26,5,10,9,25
"373","MIL",1989,FALSE,21,15,19.5,6,15.5,11,10.5,13.5,3,6.5,7,1,17.5,15,7.5,21,13.5,8,15
"374","MIN",1989,FALSE,25,25,24,11,9,24.5,24,16,1,6.5,5.5,24,25,23,1,10,22,17,9
"375","MON",1989,FALSE,8.5,6,11.5,23,22,13,23,11.5,20,17,24.5,22,17.5,9,24,4,17,12,15
"376","NYM",1989,FALSE,13,18,11.5,25,24,14,25,2,17.5,10,20,6,17.5,5,20.5,10,9,7,11
"377","NYY",1989,FALSE,20,22,26,4,5,15,9,4,4,12,10,19,24,25,9,20,21,21,2
"378","OAK",1989,TRUE,23,14,4.5,16.5,17,2,6,6,7,4,4,8,5,2,4.5,26,11,2,26
"379","PHI",1989,FALSE,6,8,19.5,13,4,1,4,17,14,11,15,18,22,20,14,2,16,16,3
"380","PIT",1989,FALSE,7,5,11.5,4,6,10,18.5,26,13,21,26,14.5,21,13,19,14,12,22,5
"381","SDP",1989,FALSE,10,10,19.5,16.5,21,3,5,13.5,24,26,23,16,8,8,7.5,24,2,6,19
"382","SEA",1989,FALSE,15,17,11.5,13,7,17,12,10,6,2.5,5.5,9.5,13.5,21,11.5,18,23,18,12
"383","SFG",1989,TRUE,18,21,11.5,4,9,9,15,25,26,22,24.5,9.5,20,6,4.5,23,3.5,3,15
"384","STL",1989,FALSE,5,7,1.5,8.5,13,4,18.5,24,5,19,17,14.5,1,4,22,16,15,1,20
"385","TEX",1989,FALSE,16,23,11.5,26,9,7,20,23,21,13.5,2,7,11,19,16,18,26,14,15
"386","TOR",1989,TRUE,24,24,4.5,8.5,15.5,24.5,22,20,16,1,3,4,13.5,11,11.5,10,25,13,15
"387","ATL",1990,FALSE,11.5,20.5,14,18,8,16.5,18.5,5.5,23,8,5,4,22.5,26,18,2,4.5,25,1
"388","BAL",1990,FALSE,9,5.5,25,2.5,4,5,7,4,17,18,14,25,18,16,5,17,1,14,7
"389","BOS",1990,TRUE,16,18.5,1.5,20.5,21,18,25,11,3,7,16,24,12.5,9,8.5,18,24.5,13,23.5
"390","CAL",1990,FALSE,13.5,15,5.5,17,14,23,8.5,8.5,22,12,8,22,12.5,15,13.5,13,17.5,18,13
"391","CHC",1990,FALSE,13.5,17,14,12,6,26,10,16.5,8,16,22,10,12.5,25,8.5,13,9.5,26,8.5
"392","CHW",1990,FALSE,11.5,9,5.5,15,11,3,14.5,24,11,19,13,1,5,6,18,26,20,4,19.5
"393","CIN",1990,TRUE,15,22,14,23,20,20,23,19,12,25,23,15,5,2.5,13.5,23.5,13.5,7,26
"394","CLE",1990,FALSE,21.5,15,25,9.5,10,12,20,20.5,5,10,3,3,16.5,21,3,21,21,16,3.5
"395","DET",1990,FALSE,24,25,25,9.5,2,10,11,12.5,15.5,3,10,20,12.5,23,8.5,19.5,24.5,20,3.5
"396","HOU",1990,FALSE,1,1,14,7.5,13,1,2.5,12.5,21,22.5,18.5,13.5,5,7,3,7,17.5,10,15.5
"397","KCR",1990,FALSE,17,18.5,5.5,23,18,19,26,25,9,2,2,12,24,18,16,3,26,21,11
"398","LAD",1990,FALSE,19,11,21.5,23,25,13,5,8.5,15.5,17,25,13.5,16.5,12,26,1,9.5,5,12
"399","MIL",1990,FALSE,21.5,12,14,1,9,15,13,16.5,4,13.5,12,6,20,24,21.5,13,17.5,24,8.5
"400","MIN",1990,FALSE,7,13,14,12,17,14,22,18,1.5,5,1,5,7.5,19.5,8.5,15.5,7,9,14
"401","MON",1990,FALSE,6,5.5,14,19,22,6,6,23,24,24,21,11,25,2.5,25,23.5,17.5,12,22
"402","NYM",1990,FALSE,26,24,5.5,26,26,16.5,21,2,7,10,20,8,1.5,4,21.5,10,7,2,23.5
"403","NYY",1990,FALSE,3,4,21.5,15,5,11,1,1,25,4,8,2,12.5,22,3,10,4.5,19,6
"404","OAK",1990,TRUE,21.5,15,14,4,12,4,2.5,3,20,15,6,21,1.5,1,21.5,25,7,3,25
"405","PHI",1990,FALSE,5,3,14,5.5,1,21,8.5,8.5,14,13.5,26,26,12.5,19.5,18,4.5,11,23,5
"406","PIT",1990,TRUE,21.5,23,14,7.5,24,2,24,22,13,26,18.5,9,22.5,5,21.5,15.5,12,1,19.5
"407","SDP",1990,FALSE,8,10,21.5,15,19,22,12,14.5,10,22.5,24,16,3,10,24,4.5,2,17,17
"408","SEA",1990,FALSE,4,7,5.5,25,16,9,14.5,5.5,1.5,6,8,23,20,11,8.5,10,22,11,18
"409","SFG",1990,FALSE,18,20.5,14,2.5,3,24,4,14.5,19,20,17,18,26,17,8.5,19.5,3,22,2
"410","STL",1990,FALSE,2,2,1.5,5.5,15,7,16,20.5,6,21,15,17,20,14,13.5,8,13.5,8,10
"411","TEX",1990,FALSE,10,8,5.5,20.5,7,8,17,8.5,26,10,11,19,7.5,13,13.5,6,23,15,15.5
"412","TOR",1990,FALSE,25,26,21.5,12,23,25,18.5,26,18,1,4,7,9,8,1,22,15,6,21
"413","ATL",1991,TRUE,19,16,7,15.5,22,8,17,13,12,23,21.5,12,19.5,4,9,19.5,6.5,3,22.5
"414","BAL",1991,FALSE,13,21.5,20,5,12,24,18,10.5,17,5,3,21,19.5,25,4,14,6.5,17,2.5
"415","BOS",1991,FALSE,18,21.5,20,20.5,19,17,26,4,5,6,14.5,26,12.5,16,13.5,16.5,12.5,10,20
"416","CAL",1991,FALSE,9,9,20,20.5,16,10.5,10,10.5,13,16.5,2,2,5,7,9,22,16,4,22.5
"417","CHC",1991,FALSE,16,14,7,11.5,11,22,5,7,9,20,7,5,17,20,6,10,9,21,10
"418","CHW",1991,FALSE,20,15,20,8,4.5,23,4,17,10,21,8.5,22,5,12.5,17.5,8.5,12.5,14,17
"419","CIN",1991,FALSE,14,23,13,20.5,13,14,15,8,19,19,20,10.5,5,14,2,15,6.5,12,12.5
"420","CLE",1991,FALSE,1,2,7,5,21,10.5,6,5.5,8,15,1,8,26,21,9,1,17,16,11
"421","DET",1991,FALSE,25,24,20,1,1,19,19.5,5.5,26,2,6,25,12.5,24,13.5,5,2,25,6
"422","HOU",1991,FALSE,3,1,13,25.5,7,15,9,21,21,16.5,8.5,16,12.5,17,9,3,10,18,2.5
"423","KCR",1991,FALSE,17,17,1.5,20.5,20,21,24,18,15,9,10,13,12.5,18,24.5,12,20,23,18
"424","LAD",1991,FALSE,10,6,1.5,24,24,3.5,1,10.5,14,25,16,20,1.5,1,24.5,8.5,6.5,6,25
"425","MIL",1991,FALSE,24,18,20,3,9,25,12,25.5,3,7.5,12,15,22,19,20.5,12,22.5,22,9
"426","MIN",1991,TRUE,23,25,20,5,14,20,22,19,1,4,4.5,18,1.5,8,20.5,25,4,9,24
"427","MON",1991,FALSE,2,3.5,7,11.5,6,6,7,20,24,18,18,4,16,10,23,6.5,14,8,14
"428","NYM",1991,FALSE,6,8,7,25.5,26,2,16,3,2,14,19,14,9,9,16,6.5,3,5,15
"429","NYY",1991,FALSE,11,12,20,14,17,18,14,1.5,7,1,4.5,6,19.5,23,4,4,18,15,7
"430","OAK",1991,FALSE,21,13,26,8,2,5,11,1.5,18,3,21.5,7,24,22,9,21,26,20,1
"431","PHI",1991,FALSE,4,5,7,17,3,16,13,15,20,7.5,12,9,12.5,12.5,20.5,2,20,24,8
"432","PIT",1991,TRUE,22,19,7,11.5,25,7,19.5,24,11,26,26,24,5,3,26,23.5,11,2,16
"433","SDP",1991,FALSE,5,7,20,11.5,23,3.5,2,16,25,22,25,3,24,5,13.5,18,1,7,19
