"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"51","BOS",1977,FALSE,25,26,22,6,25,15,16,22,22,3,7,5,14,13,24.5,22,11,4,21
"52","CAL",1977,FALSE,8,10,16,26,18,2.5,11,9,18,16,8,8,23.5,11,22,6,25,9,17.5
"53","CHC",1977,FALSE,12.5,11,9,25,24,20.5,22,6,8,14.5,17,23,16.5,16,11.5,24.5,3.5,18,22.5
"54","CHW",1977,FALSE,23,23.5,9,13,16,23,14,19,1,1,10,21,21,21,2.5,21,23.5,22,9
"55","CIN",1977,FALSE,20,21.5,22,20,13.5,8,21,12,23,10,20,20,23.5,14,19,15,17.5,12,6
"56","CLE",1977,FALSE,10.5,6,9,20,12,9,4,15,4,25,4,17,8,17,13,10,14,17,10
"57","DET",1977,FALSE,14,17,22,6,17,20.5,8,13,6,2,1,3,10.5,18,4,2,5,15,16
"58","HOU",1977,FALSE,10.5,9,3,16.5,13.5,12,17,24,12,17,18,11,3.5,2,14.5,8.5,9,13,13
"59","KCR",1977,TRUE,21,21.5,3,13,19,18,26,26,3,6.5,13.5,10,3.5,3.5,19,23,20.5,8,24
"60","LAD",1977,TRUE,19,20,3,23,26,17,5,3,20,22.5,23,22,7,1,22,19.5,15,5,26
"61","MIL",1977,FALSE,5,13,16,1,3,7,15,14,14,9,3,7,3.5,20,8,4,20.5,11,7
"62","MIN",1977,FALSE,26,19,16,2.5,8,25,23,25,5,20.5,16,24,14,22,10,5,22,19,3
"63","MON",1977,FALSE,6,15,9,13,9,26,25,18,16,14.5,22,19,19,15,17,16.5,9,23,8
"64","NYM",1977,FALSE,1,1,3,23,23,2.5,6.5,4,19,11,9,12,16.5,7,19,8.5,19,1,11
"65","NYY",1977,TRUE,22,23.5,16,4,11,22,20,16,2,4,12,15,3.5,3.5,22,18,3.5,2,19.5
"66","OAK",1977,FALSE,2.5,2,16,9,6,1,1,7,24,12,6,1,22,19,5.5,7,7,16,12
"67","PHI",1977,TRUE,24,25,9,16.5,20,16,19,20.5,9,8,26,14,3.5,9,8,26,6,6.5,19.5
