"","Team","Year","R.G","BA","OBP","SLG","OPS","OPS_plus","Playoffs","ERA","H9","HR9","BB9","SO9","SO.W","num_batters","Games_Played","PA","AB","H_own","B2","B3","HR_own","RBI","SB","CS","BB_own","SO_own","TB","GDP","HBP_own","SH","SF","IBB_own","LOB_own","num_pitchers","RA.G","CG","tSho","cSho","Saves","IP","R_allowed","ER","IBB_allowed","HBP_allowed","BK","WP","BF","ERA_plus","FIP","WHIP","LOB_allowed"
"171","PHI",1981,4.59,0.273,0.341,0.389,0.73,103,TRUE,4.05,9.1,0.7,3.3,5.4,1.67,0.336448598130841,1,38.7196261682243,34.2523364485981,9.36448598130841,1.54205607476636,0.233644859813084,0.644859813084112,4.23364485981308,0.962616822429907,0.429906542056075,3.47663551401869,4.03738317757009,13.3084112149533,0.738317757009346,0.214953271028037,0.411214953271028,0.345794392523364,0.392523364485981,7.41121495327103,0.130841121495327,0.041214953271028,0.177570093457944,0.0467289719626168,0.00934579439252336,0.214953271028037,8.97289719626168,4.41121495327103,4.03738317757009,0.420560747663551,0.130841121495327,0.149532710280374,0.299065420560748,38.1869158878505,0.841121495327103,0.0326168224299065,0.012785046728972,6.85046728971963
"172","PIT",1981,3.95,0.257,0.311,0.369,0.68,90,FALSE,3.56,9.1,0.6,3.3,4.7,1.42,0.359223300970874,1,38.4660194174757,34.7184466019417,8.93203883495146,1.70873786407767,0.29126213592233,0.533980582524272,3.72815533980583,1.18446601941748,0.504854368932039,2.69902912621359,4.79611650485437,12.8252427184466,0.58252427184466,0.145631067961165,0.524271844660194,0.349514563106796,0.359223300970874,6.96116504854369,0.155339805825243,0.0400970873786408,0.106796116504854,0.0485436893203883,0.0388349514563107,0.281553398058252,9.14563106796117,4.12621359223301,3.62135922330097,0.495145631067961,0.145631067961165,0.106796116504854,0.310679611650485,39.1165048543689,1,0.0342718446601942,0.0133883495145631,7.55339805825243
"173","SDP",1981,3.47,0.256,0.313,0.346,0.659,92,FALSE,3.72,9.1,0.6,3.7,4.4,1.19,0.309090909090909,1,38.0454545454545,34.1545454545455,8.75454545454545,1.54545454545455,0.318181818181818,0.290909090909091,3.18181818181818,0.754545454545455,0.563636363636364,2.82727272727273,4.77272727272727,11.8090909090909,0.790909090909091,0.127272727272727,0.654545454545455,0.272727272727273,0.354545454545455,6.99090909090909,0.127272727272727,0.0376363636363636,0.0818181818181818,0.0545454545454545,0.0272727272727273,0.209090909090909,9.10909090909091,4.13636363636364,3.76363636363636,0.536363636363636,0.154545454545455,0.172727272727273,0.272727272727273,39.0636363636364,0.809090909090909,0.034,0.0129454545454545,7.6
"174","SEA",1981,3.87,0.251,0.314,0.368,0.682,93,FALSE,4.23,9.4,0.7,3.2,4.3,1.33,0.345454545454545,1,38.1909090909091,34.3636363636364,8.63636363636364,1.34545454545455,0.118181818181818,0.809090909090909,3.69090909090909,0.909090909090909,0.454545454545455,2.99090909090909,5.02727272727273,12.6454545454545,0.636363636363636,0.245454545454545,0.372727272727273,0.218181818181818,0.218181818181818,6.9,0.136363636363636,0.0430909090909091,0.0909090909090909,0.0454545454545455,0.0181818181818182,0.209090909090909,9.06454545454545,4.73636363636364,4.26363636363636,0.236363636363636,0.145454545454545,0.0636363636363636,0.363636363636364,38.8545454545455,0.836363636363636,0.0341818181818182,0.0127545454545455,6.91818181818182
"175","SFG",1981,3.85,0.25,0.32,0.357,0.676,94,FALSE,3.28,8.6,0.5,3.5,5,1.43,0.315315315315315,1,38.3603603603604,33.9279279279279,8.47747747747748,1.45045045045045,0.234234234234234,0.567567567567568,3.59459459459459,0.801801801801802,0.45045045045045,3.47747747747748,4.89189189189189,12.0990990990991,0.81981981981982,0.126126126126126,0.585585585585586,0.243243243243243,0.441441441441441,7.18018018018018,0.117117117117117,0.0336036036036036,0.0720720720720721,0.0810810810810811,0.027027027027027,0.297297297297297,9.09099099099099,3.72972972972973,3.31531531531532,0.504504504504504,0.216216216216216,0.117117117117117,0.324324324324324,38.7567567567568,0.945945945945946,0.0311711711711712,0.0121621621621622,7.74774774774775
"176","STL",1981,4.5,0.265,0.336,0.377,0.713,100,FALSE,3.63,8.6,0.5,2.8,3.7,1.34,0.339805825242718,1,38.9708737864078,34.3398058252427,9.0873786407767,1.53398058252427,0.436893203883495,0.485436893203884,4.18446601941748,0.854368932038835,0.436893203883495,3.67961165048544,4.80582524271845,12.9514563106796,0.796116504854369,0.155339805825243,0.446601941747573,0.339805825242718,0.398058252427184,7.25242718446602,0.155339805825243,0.0393203883495146,0.106796116504854,0.0485436893203883,0.0194174757281553,0.320388349514563,9.15533980582524,4.04854368932039,3.68932038834951,0.436893203883495,0.145631067961165,0.106796116504854,0.213592233009709,37.9611650485437,0.961165048543689,0.0335922330097087,0.0122718446601942,6.44660194174757
"177","TEX",1981,4.3,0.27,0.326,0.369,0.696,106,FALSE,3.4,8.1,0.6,3.1,4.7,1.52,0.352380952380952,1,37.8285714285714,34.1047619047619,9.21904761904762,1.6952380952381,0.142857142857143,0.466666666666667,3.98095238095238,0.438095238095238,0.39047619047619,2.80952380952381,3.77142857142857,12.6,0.8,0.2,0.342857142857143,0.371428571428571,0.380952380952381,6.85714285714286,0.142857142857143,0.0352380952380952,0.219047619047619,0.123809523809524,0.0952380952380952,0.171428571428571,8.95333333333333,3.7047619047619,3.38095238095238,0.323809523809524,0.161904761904762,0.019047619047619,0.171428571428571,37.2285714285714,0.971428571428571,0.034,0.0118761904761905,6.65714285714286
"178","TOR",1981,3.1,0.226,0.286,0.33,0.617,74,FALSE,3.81,8.6,0.7,3.6,4.3,1.2,0.330188679245283,1,36.6698113207547,33.2169811320755,7.5188679245283,1.29245283018868,0.216981132075472,0.575471698113208,2.9622641509434,0.622641509433962,0.537735849056604,2.67924528301887,5.24528301886792,10.9716981132075,0.679245283018868,0.188679245283019,0.415094339622642,0.169811320754717,0.216981132075472,6.20754716981132,0.132075471698113,0.0415094339622642,0.188679245283019,0.0377358490566038,0.0188679245283019,0.169811320754717,8.99150943396226,4.39622641509434,3.81132075471698,0.254716981132075,0.339622641509434,0.0377358490566038,0.386792452830189,38.5754716981132,0.971698113207547,0.0371698113207547,0.0127169811320755,7.19811320754717
"179","ATL",1982,4.56,0.256,0.325,0.383,0.708,95,TRUE,3.82,9.1,0.8,3.1,5,1.62,0.240740740740741,1,38.4753086419753,33.9938271604938,8.70987654320988,1.32716049382716,0.135802469135802,0.901234567901235,4.24074074074074,0.932098765432099,0.475308641975309,3.41975308641975,5.3641975308642,13.0123456790123,0.62962962962963,0.179012345679012,0.592592592592593,0.265432098765432,0.395061728395062,6.93827160493827,0.104938271604938,0.0267283950617284,0.0925925925925926,0.0679012345679012,0.0308641975308642,0.314814814814815,9.03086419753086,4.33333333333333,3.83333333333333,0.382716049382716,0.148148148148148,0.0432098765432099,0.228395061728395,38.3086419753086,0.611111111111111,0.0234567901234568,0.00837654320987654,6.88271604938272
"180","BAL",1982,4.75,0.266,0.341,0.419,0.76,108,FALSE,3.99,8.8,0.9,3,4.4,1.47,0.208588957055215,1,38.8036809815951,34.0920245398773,9.06748466257669,1.58895705521472,0.165644171779141,1.09815950920245,4.50920245398773,0.300613496932515,0.233128834355828,3.88957055214724,4.88343558282209,14.2822085889571,0.865030674846626,0.153374233128834,0.349693251533742,0.319018404907975,0.319018404907975,7.40490797546012,0.0797546012269939,0.0258282208588957,0.233128834355828,0.049079754601227,0.0429447852760736,0.208588957055215,8.96993865030675,4.21472392638037,3.97546012269939,0.251533742331288,0.134969325153374,0.0368098159509202,0.214723926380368,37.9447852760736,0.625766871165644,0.0250920245398773,0.00807361963190184,6.8159509202454
"181","BOS",1982,4.65,0.274,0.34,0.407,0.747,100,FALSE,4.03,9.6,1,3,5.1,1.71,0.203703703703704,1,38.6543209876543,34.5432098765432,9.48148148148148,1.67283950617284,0.191358024691358,0.839506172839506,4.35185185185185,0.259259259259259,0.240740740740741,3.37654320987654,4.54320987654321,14.0555555555556,1.05555555555556,0.172839506172839,0.327160493827161,0.234567901234568,0.209876543209877,7.27777777777778,0.0864197530864197,0.0271604938271605,0.141975308641975,0.0679012345679012,0.0493827160493827,0.203703703703704,8.96913580246914,4.40123456790123,4.01851851851852,0.222222222222222,0.216049382716049,0.037037037037037,0.148148148148148,38.5555555555556,0.666666666666667,0.0249382716049383,0.00864814814814815,7.24691358024691
"182","CAL",1982,5.02,0.274,0.347,0.433,0.78,114,TRUE,3.82,8.8,0.8,3,4.5,1.51,0.228395061728395,1,39.1975308641975,34.1481481481481,9.37037037037037,1.65432098765432,0.160493827160494,1.14814814814815,4.69135802469136,0.339506172839506,0.327160493827161,3.78395061728395,4.69135802469136,14.7901234567901,0.802469135802469,0.216049382716049,0.703703703703704,0.345679012345679,0.283950617283951,7.28395061728395,0.104938271604938,0.0255555555555556,0.246913580246914,0.0617283950617284,0.0617283950617284,0.166666666666667,9.03703703703704,4.1358024691358,3.83333333333333,0.203703703703704,0.259259259259259,0.0246913580246914,0.222222222222222,38.0123456790123,0.654320987654321,0.0240740740740741,0.00808641975308642,6.76543209876543
"183","CHC",1982,4.17,0.26,0.317,0.375,0.692,92,FALSE,3.92,9.4,0.8,2.8,4.8,1.69,0.228395061728395,1,37.9074074074074,34.141975308642,8.8641975308642,1.47530864197531,0.283950617283951,0.62962962962963,3.99382716049383,0.814814814814815,0.432098765432099,2.83950617283951,5.3641975308642,12.7962962962963,0.598765432098765,0.154320987654321,0.469135802469136,0.302469135802469,0.382716049382716,6.75308641975309,0.0925925925925926,0.027037037037037,0.0555555555555556,0.0432098765432099,0.0246913580246914,0.265432098765432,8.93271604938272,4.37654320987654,3.88888888888889,0.41358024691358,0.179012345679012,0.0925925925925926,0.197530864197531,38.1604938271605,0.58641975308642,0.0233333333333333,0.00837037037037037,6.98148148148148
"184","CHW",1982,4.85,0.273,0.337,0.413,0.75,105,FALSE,3.87,9.4,0.6,2.9,4.7,1.64,0.240740740740741,1,38.5308641975309,34.4135802469136,9.40123456790123,1.64197530864198,0.320987654320988,0.839506172839506,4.61111111111111,0.839506172839506,0.358024691358025,3.29012345679012,5.34567901234568,14.2037037037037,0.722222222222222,0.185185185185185,0.333333333333333,0.308641975308642,0.277777777777778,7.08641975308642,0.0987654320987654,0.027037037037037,0.185185185185185,0.0617283950617284,0.0432098765432099,0.253086419753086,8.88271604938272,4.38271604938272,3.81481481481481,0.185185185185185,0.160493827160494,0.0802469135802469,0.172839506172839,37.9382716049383,0.648148148148148,0.0220987654320988,0.00841358024691358,6.90740740740741
"185","CIN",1982,3.36,0.251,0.31,0.35,0.66,84,FALSE,3.66,8.7,0.6,3.5,6.2,1.75,0.203703703703704,1,37.6543209876543,33.820987654321,8.48765432098766,1.40740740740741,0.209876543209877,0.506172839506173,3.06172839506173,0.808641975308642,0.425925925925926,2.90123456790123,5.04320987654321,11.8333333333333,0.882716049382716,0.12962962962963,0.54320987654321,0.253086419753086,0.308641975308642,6.92592592592593,0.0864197530864197,0.0251851851851852,0.135802469135802,0.0432098765432099,0.0308641975308642,0.191358024691358,9.01296296296296,4.08024691358025,3.66666666666667,0.524691358024691,0.166666666666667,0.0679012345679012,0.308641975308642,38.3950617283951,0.623456790123457,0.0216666666666667,0.00838888888888889,7.27160493827161
"186","CLE",1982,4.22,0.262,0.341,0.373,0.714,97,FALSE,4.11,8.8,0.7,3.6,5.4,1.5,0.222222222222222,1,39.2530864197531,34.3148148148148,9,1.38888888888889,0.197530864197531,0.672839506172839,3.94444444444444,0.932098765432099,0.419753086419753,4.01851851851852,3.85802469135802,12.8024691358025,0.882716049382716,0.216049382716049,0.45679012345679,0.246913580246914,0.296296296296296,7.76543209876543,0.0987654320987654,0.0285185185185185,0.191358024691358,0.0555555555555556,0.0246913580246914,0.185185185185185,9.06234567901235,4.61728395061728,4.1358024691358,0.197530864197531,0.135802469135802,0.0493827160493827,0.345679012345679,38.9320987654321,0.623456790123457,0.0237037037037037,0.0085,7.12345679012346
"187","DET",1982,4.5,0.266,0.324,0.418,0.742,103,FALSE,3.8,8.5,1.1,3.4,4.6,1.34,0.240740740740741,1,38.0617283950617,34.5061728395062,9.19135802469136,1.46296296296296,0.246913580246914,1.09259259259259,4.22222222222222,0.574074074074074,0.407407407407407,2.90123456790123,4.98148148148148,14.4259259259259,0.611111111111111,0.160493827160494,0.253086419753086,0.240740740740741,0.179012345679012,6.7962962962963,0.104938271604938,0.0261111111111111,0.277777777777778,0.0308641975308642,0.0308641975308642,0.166666666666667,8.95679012345679,4.22839506172839,3.78395061728395,0.308641975308642,0.141975308641975,0.0246913580246914,0.327160493827161,37.7469135802469,0.654320987654321,0.0273456790123457,0.00819135802469136,6.64814814814815
"188","HOU",1982,3.51,0.247,0.302,0.349,0.651,89,FALSE,3.42,8.3,0.5,3,5.6,1.88,0.234567901234568,1,37.0925925925926,33.5802469135802,8.28395061728395,1.45679012345679,0.296296296296296,0.45679012345679,3.29012345679012,0.864197530864197,0.376543209876543,2.68518518518519,5.12345679012346,11.7037037037037,0.641975308641975,0.117283950617284,0.419753086419753,0.283950617283951,0.41358024691358,6.74074074074074,0.0987654320987654,0.023641975308642,0.228395061728395,0.0987654320987654,0.0617283950617284,0.191358024691358,8.92716049382716,3.82716049382716,3.38888888888889,0.246913580246914,0.203703703703704,0.0679012345679012,0.376543209876543,37.2716049382716,0.604938271604938,0.0204938271604938,0.00775308641975309,6.65432098765432
"189","KCR",1982,4.84,0.285,0.337,0.428,0.765,109,FALSE,4.08,9.1,1,3,4.1,1.38,0.240740740740741,1,38.1358024691358,34.7469135802469,9.89506172839506,1.82098765432099,0.358024691358025,0.814814814814815,4.60493827160494,0.820987654320988,0.296296296296296,2.7283950617284,4.67901234567901,14.8765432098765,0.864197530864197,0.154320987654321,0.197530864197531,0.302469135802469,0.228395061728395,6.91358024691358,0.0925925925925926,0.0273456790123457,0.0987654320987654,0.0740740740740741,0.0308641975308642,0.277777777777778,8.83333333333333,4.42592592592593,4.00617283950617,0.185185185185185,0.160493827160494,0.0679012345679012,0.265432098765432,37.7098765432099,0.617283950617284,0.0267283950617284,0.00825925925925926,6.78395061728395
"190","LAD",1982,4.27,0.264,0.327,0.388,0.715,102,FALSE,3.26,8.2,0.5,2.8,5.6,1.99,0.240740740740741,1,39.2654320987654,34.8271604938272,9.17901234567901,1.37037037037037,0.197530864197531,0.851851851851852,4.08024691358025,0.932098765432099,0.345679012345679,3.25925925925926,4.96296296296296,13.5,0.604938271604938,0.185185185185185,0.654320987654321,0.339506172839506,0.512345679012346,7.54938271604938,0.0925925925925926,0.0233333333333333,0.228395061728395,0.0987654320987654,0.0802469135802469,0.172839506172839,9.1858024691358,3.77777777777778,3.32716049382716,0.549382716049383,0.135802469135802,0.0617283950617284,0.216049382716049,38.179012345679,0.660493827160494,0.0195061728395062,0.0075679012345679,6.83950617283951
"191","MIL",1982,5.47,0.279,0.335,0.455,0.789,121,TRUE,3.98,9.3,0.9,3.1,4.4,1.4,0.202453987730061,1,38.8773006134969,35.1717791411043,9.80981595092025,1.69938650306748,0.251533742331288,1.32515337423313,5.17177914110429,0.515337423312883,0.319018404907975,2.96932515337423,4.38036809815951,15.9877300613497,0.650306748466258,0.110429447852761,0.343558282208589,0.282208588957055,0.257668711656442,6.73006134969325,0.0920245398773006,0.0269938650306749,0.208588957055215,0.0368098159509202,0.0368098159509202,0.288343558282209,9.00061349693251,4.39877300613497,3.98159509202454,0.165644171779141,0.128834355828221,0.049079754601227,0.269938650306748,38.3251533742331,0.588957055214724,0.0255828220858896,0.00846625766871166,6.92024539877301
"192","MIN",1982,4.06,0.257,0.316,0.396,0.711,92,FALSE,4.72,9.3,1.3,4,5.1,1.26,0.240740740740741,1,37.7469135802469,34.2222222222222,8.80864197530864,1.44444444444444,0.271604938271605,0.91358024691358,3.85185185185185,0.234567901234568,0.203703703703704,2.92592592592593,5.47530864197531,13.537037037037,0.919753086419753,0.148148148148148,0.135802469135802,0.314814814814815,0.191358024691358,6.84567901234568,0.104938271604938,0.0312345679012346,0.160493827160494,0.0432098765432099,0.0246913580246914,0.185185185185185,8.84567901234568,5.05555555555556,4.64197530864198,0.37037037037037,0.0740740740740741,0.0740740740740741,0.277777777777778,38.6172839506173,0.549382716049383,0.0298765432098765,0.00916049382716049,7.02469135802469
"193","MON",1982,4.3,0.262,0.325,0.396,0.72,100,FALSE,3.31,8.4,0.7,2.8,5.8,2.09,0.259259259259259,1,38.4012345679012,34.3024691358025,8.97530864197531,1.66666666666667,0.234567901234568,0.820987654320988,4.04938271604938,0.962962962962963,0.345679012345679,3.10493827160494,5.03703703703704,13.5740740740741,0.660493827160494,0.216049382716049,0.524691358024691,0.253086419753086,0.444444444444444,7.11728395061728,0.0925925925925926,0.0234567901234568,0.209876543209877,0.0617283950617284,0.037037037037037,0.265432098765432,9.01358024691358,3.80246913580247,3.32098765432099,0.302469135802469,0.135802469135802,0.0493827160493827,0.290123456790123,37.5493827160494,0.679012345679012,0.0208641975308642,0.00768518518518519,6.69753086419753
"194","NYM",1982,3.76,0.247,0.305,0.35,0.655,84,FALSE,3.88,9.4,0.7,3.6,4.7,1.3,0.246913580246914,1,37.7037037037037,34.0123456790123,8.40123456790123,1.40123456790123,0.160493827160494,0.598765432098765,3.50617283950617,0.845679012345679,0.358024691358025,2.81481481481481,6.2037037037037,11.9197530864198,0.691358024691358,0.154320987654321,0.395061728395062,0.327160493827161,0.302469135802469,6.87037037037037,0.111111111111111,0.0275308641975309,0.0925925925925926,0.0308641975308642,0.0185185185185185,0.228395061728395,8.93271604938272,4.46296296296296,3.85185185185185,0.302469135802469,0.104938271604938,0.0802469135802469,0.197530864197531,38.7098765432099,0.580246913580247,0.0245679012345679,0.00891358024691358,7.44444444444444
"195","NYY",1982,4.38,0.256,0.328,0.398,0.726,101,FALSE,3.99,9.1,0.7,3,5.8,1.91,0.290123456790123,1,38.5493827160494,34.1111111111111,8.74691358024691,1.38888888888889,0.228395061728395,0.993827160493827,4.11111111111111,0.425925925925926,0.277777777777778,3.64197530864198,4.43827160493827,13.5740740740741,0.938271604938272,0.148148148148148,0.339506172839506,0.302469135802469,0.277777777777778,7.10493827160494,0.104938271604938,0.027283950617284,0.148148148148148,0.0493827160493827,0.0185185185185185,0.240740740740741,9.00617283950617,4.41975308641975,3.99382716049383,0.246913580246914,0.135802469135802,0.0925925925925926,0.253086419753086,38.3950617283951,0.617283950617284,0.0215432098765432,0.00830246913580247,6.95679012345679
"196","OAK",1982,4.27,0.236,0.309,0.367,0.676,90,FALSE,4.54,9.3,1.1,4,4.3,1.08,0.265432098765432,1,37.9876543209877,33.6296296296296,7.93827160493827,1.30246913580247,0.166666666666667,0.919753086419753,4.0679012345679,1.4320987654321,0.537037037037037,3.59259259259259,5.85185185185185,12.3333333333333,0.58641975308642,0.123456790123457,0.308641975308642,0.333333333333333,0.123456790123457,6.49382716049383,0.104938271604938,0.0312345679012346,0.259259259259259,0.037037037037037,0.0308641975308642,0.135802469135802,8.98765432098766,5.05555555555556,4.53703703703704,0.12962962962963,0.185185185185185,0.0493827160493827,0.358024691358025,39.6913580246914,0.524691358024691,0.0292592592592593,0.00912962962962963,7.67283950617284
"197","PHI",1982,4.1,0.26,0.323,0.376,0.699,93,FALSE,3.61,8.6,0.5,2.9,6.2,2.12,0.228395061728395,1,37.7098765432099,33.6666666666667,8.74691358024691,1.51234567901235,0.154320987654321,0.691358024691358,3.85185185185185,0.790123456790123,0.469135802469136,3.12345679012346,5.12962962962963,12.641975308642,0.827160493827161,0.148148148148148,0.524691358024691,0.234567901234568,0.407407407407407,6.77777777777778,0.0987654320987654,0.0249382716049383,0.234567901234568,0.0802469135802469,0.0617283950617284,0.203703703703704,8.98827160493827,4.03703703703704,3.60493827160494,0.432098765432099,0.172839506172839,0.104938271604938,0.302469135802469,37.6728395061728,0.62962962962963,0.0193827160493827,0.00791358024691358,6.66666666666667
"198","PIT",1982,4.47,0.273,0.327,0.408,0.734,102,FALSE,3.81,8.8,0.7,3.2,5.7,1.79,0.265432098765432,1,38.4876543209877,34.6543209876543,9.47530864197531,1.67901234567901,0.246913580246914,0.827160493827161,4.24691358024691,0.993827160493827,0.462962962962963,2.75925925925926,5.32098765432099,14.1296296296296,0.716049382716049,0.172839506172839,0.481481481481481,0.41358024691358,0.444444444444444,6.90123456790123,0.0987654320987654,0.0265432098765432,0.117283950617284,0.0432098765432099,0.0246913580246914,0.240740740740741,9.05061728395062,4.2962962962963,3.83333333333333,0.432098765432099,0.179012345679012,0.0617283950617284,0.364197530864198,38.537037037037,0.611111111111111,0.0223456790123457,0.00822839506172839,7.08024691358025
"199","SDP",1982,4.17,0.257,0.311,0.359,0.669,91,FALSE,3.52,8.2,0.8,3.1,4.7,1.52,0.234567901234568,1,38.0246913580247,34.4135802469136,8.85802469135803,1.33950617283951,0.320987654320988,0.5,3.7716049382716,1.01851851851852,0.475308641975309,2.64814814814815,5.41358024691358,12.3395061728395,0.592592592592593,0.135802469135802,0.530864197530864,0.290123456790123,0.481481481481481,6.59259259259259,0.0864197530864197,0.0250617283950617,0.123456790123457,0.0679012345679012,0.037037037037037,0.253086419753086,9.11111111111111,4.06172839506173,3.5679012345679,0.240740740740741,0.166666666666667,0.0740740740740741,0.172839506172839,38.2530864197531,0.611111111111111,0.0245679012345679,0.00773456790123457,6.85802469135802
"200","SEA",1982,4.02,0.254,0.311,0.381,0.692,87,FALSE,3.88,8.7,1.1,3.3,6.1,1.83,0.246913580246914,1,38.1543209876543,34.7283950617284,8.83333333333333,1.59876543209877,0.203703703703704,0.802469135802469,3.79012345679012,0.808641975308642,0.506172839506173,2.81481481481481,4.97530864197531,13.2469135802469,0.697530864197531,0.135802469135802,0.259259259259259,0.216049382716049,0.191358024691358,6.66049382716049,0.0925925925925926,0.0271604938271605,0.141975308641975,0.0679012345679012,0.0493827160493827,0.240740740740741,9.11172839506173,4.39506172839506,3.92592592592593,0.141975308641975,0.154320987654321,0.0555555555555556,0.290123456790123,38.5864197530864,0.672839506172839,0.025,0.0082716049382716,6.85185185185185
"201","SFG",1982,4.15,0.253,0.327,0.376,0.703,98,FALSE,3.64,9.3,0.7,2.9,5,1.74,0.228395061728395,1,38.4382716049383,33.9444444444444,8.59876543209877,1.31481481481481,0.185185185185185,0.820987654320988,3.89506172839506,0.802469135802469,0.345679012345679,3.74691358024691,5.64814814814815,12.7469135802469,0.808641975308642,0.104938271604938,0.364197530864198,0.277777777777778,0.432098765432099,7.24074074074074,0.0925925925925926,0.0261728395061728,0.111111111111111,0.0246913580246914,0.0185185185185185,0.277777777777778,9.04382716049383,4.24074074074074,3.65432098765432,0.549382716049383,0.154320987654321,0.117283950617284,0.203703703703704,38.4691358024691,0.604938271604938,0.0220987654320988,0.00830864197530864,7.09259259259259
"202","STL",1982,4.23,0.264,0.334,0.364,0.697,95,TRUE,3.37,8.7,0.6,3.1,4.2,1.37,0.203703703703704,1,38.2592592592593,33.6728395061728,8.88271604938272,1.47530864197531,0.320987654320988,0.41358024691358,3.90123456790123,1.23456790123457,0.561728395061728,3.51234567901235,4.96913580246914,12.2407407407407,0.679012345679012,0.185185185185185,0.537037037037037,0.339506172839506,0.407407407407407,7.08024691358025,0.0864197530864197,0.0232098765432099,0.154320987654321,0.0617283950617284,0.0493827160493827,0.290123456790123,9.04382716049383,3.75925925925926,3.38888888888889,0.555555555555556,0.135802469135802,0.0740740740740741,0.283950617283951,37.9135802469136,0.672839506172839,0.0227160493827161,0.00809876543209877,7.01851851851852
"203","TEX",1982,3.64,0.249,0.308,0.359,0.667,88,FALSE,4.28,9.8,0.8,3,4.3,1.43,0.246913580246914,1,37.1666666666667,33.6111111111111,8.35802469135803,1.25925925925926,0.160493827160494,0.709876543209877,3.44444444444444,0.388888888888889,0.277777777777778,2.75925925925926,4.62962962962963,12.0679012345679,0.827160493827161,0.197530864197531,0.395061728395062,0.197530864197531,0.135802469135802,6.67901234567901,0.0925925925925926,0.0285185185185185,0.197530864197531,0.0308641975308642,0.0185185185185185,0.148148148148148,8.83333333333333,4.62345679012346,4.2037037037037,0.419753086419753,0.253086419753086,0.0246913580246914,0.209876543209877,38.2160493827161,0.561728395061728,0.0247530864197531,0.00878395061728395,7.09259259259259
"204","TOR",1982,4.02,0.262,0.314,0.383,0.697,84,FALSE,3.95,8.9,0.9,3.1,4.8,1.57,0.222222222222222,1,37.4506172839506,34.1111111111111,8.9320987654321,1.61728395061728,0.277777777777778,0.654320987654321,3.73456790123457,0.728395061728395,0.5,2.56172839506173,4.62345679012346,13.0679012345679,0.660493827160494,0.172839506172839,0.296296296296296,0.308641975308642,0.234567901234568,6.61111111111111,0.0802469135802469,0.0267283950617284,0.253086419753086,0.0802469135802469,0.0555555555555556,0.154320987654321,8.90864197530864,4.32716049382716,3.90740740740741,0.179012345679012,0.154320987654321,0.0185185185185185,0.234567901234568,37.9074074074074,0.703703703703704,0.0249382716049383,0.00821604938271605,6.84567901234568
"205","ATL",1983,4.6,0.272,0.341,0.4,0.741,99,FALSE,3.67,8.8,0.8,3.4,5.6,1.66,0.246913580246914,1,38.2592592592593,33.7777777777778,9.19135802469136,1.34567901234568,0.277777777777778,0.802469135802469,4.26543209876543,0.901234567901235,0.54320987654321,3.59259259259259,5.22839506172839,13.5,0.796296296296296,0.104938271604938,0.481481481481481,0.283950617283951,0.444444444444444,7.12962962962963,0.104938271604938,0.0243827160493827,0.111111111111111,0.0246913580246914,0.0246913580246914,0.296296296296296,8.89012345679012,3.95061728395062,3.62962962962963,0.290123456790123,0.141975308641975,0.0617283950617284,0.209876543209877,37.7345679012346,0.654320987654321,0.0239506172839506,0.0083641975308642,7.10493827160494
"206","BAL",1983,4.93,0.269,0.34,0.421,0.761,111,TRUE,3.63,9,0.8,2.8,4.8,1.71,0.228395061728395,1,38.7222222222222,34.2345679012346,9.20987654320988,1.74691358024691,0.166666666666667,1.03703703703704,4.69753086419753,0.376543209876543,0.203703703703704,3.70987654320988,4.93827160493827,14.4012345679012,0.888888888888889,0.141975308641975,0.283950617283951,0.345679012345679,0.296296296296296,7.19135802469136,0.0864197530864197,0.0248148148148148,0.222222222222222,0.0925925925925926,0.0555555555555556,0.234567901234568,8.96358024691358,4.02469135802469,3.61111111111111,0.154320987654321,0.0617283950617284,0.0246913580246914,0.222222222222222,37.6851851851852,0.672839506172839,0.0235185185185185,0.00808641975308642,6.76543209876543
"207","BOS",1983,4.47,0.27,0.335,0.409,0.744,99,FALSE,4.34,9.8,1,3.1,4.8,1.56,0.191358024691358,1,38.5864197530864,34.5061728395062,9.33333333333333,1.77160493827161,0.197530864197531,0.876543209876543,4.26543209876543,0.185185185185185,0.160493827160494,3.30864197530864,4.67901234567901,14.1296296296296,1.05555555555556,0.172839506172839,0.302469135802469,0.296296296296296,0.271604938271605,7.30246913580247,0.0740740740740741,0.0295061728395062,0.179012345679012,0.0432098765432099,0.0308641975308642,0.259259259259259,8.92654320987654,4.78395061728395,4.30246913580247,0.265432098765432,0.191358024691358,0.0555555555555556,0.172839506172839,38.6111111111111,0.623456790123457,0.0259259259259259,0.00881481481481482,7.04320987654321
"208","CAL",1983,4.46,0.26,0.322,0.393,0.715,97,FALSE,4.31,10,0.8,3,4.1,1.35,0.240740740740741,1,38.8518518518519,34.8148148148148,9.05555555555556,1.48765432098765,0.135802469135802,0.950617283950617,4.20987654320988,0.253086419753086,0.240740740740741,3.14197530864198,5.15432098765432,13.6666666666667,0.907407407407407,0.191358024691358,0.419753086419753,0.283950617283951,0.240740740740741,6.92592592592593,0.0987654320987654,0.0296913580246914,0.240740740740741,0.0432098765432099,0.037037037037037,0.141975308641975,9.09876543209877,4.80864197530864,4.35802469135802,0.438271604938272,0.185185185185185,0.00617283950617284,0.314814814814815,39.462962962963,0.580246913580247,0.0251234567901235,0.00892592592592593,7.35802469135802
